date,factor,horizon,sample_size,ic,rank_ic
2020-03-25,overnight_reversal_5,20,2718,-0.033537362560184844,-0.08963309690240484
2020-03-25,reversal_5,1,2746,0.09866390117719931,0.08329929008210687
2020-03-25,reversal_5,5,2741,0.12219107784666046,0.12313761484267668
2020-03-25,reversal_5,20,2718,0.01997049238449599,0.00536715903508807
2020-03-26,amihud_illiquidity_20,1,2729,0.004750263464425066,-0.0007334987975325463
2020-03-26,amihud_illiquidity_20,5,2725,-0.044877212343944026,-0.048911779084793675
2020-03-26,amihud_illiquidity_20,20,2699,-0.06488012696081434,-0.06475939911202602
2020-03-26,amount_change_5_20,1,2729,-0.00693212893961657,-0.012831665412715848
2020-03-26,amount_change_5_20,5,2725,-0.02360531920241357,0.0005919129785999571
2020-03-26,amount_change_5_20,20,2699,0.03576243673346238,0.05909037464715357
2020-03-26,low_volatility_20,1,2729,0.13497619901507105,0.252194195659915
2020-03-26,low_volatility_20,5,2725,0.016481821099144336,0.09177930423651162
2020-03-26,low_volatility_20,20,2699,0.005880314974229373,0.05728332115753209
2020-03-26,momentum_20,1,2729,0.20745620238100212,0.23615693035744034
2020-03-26,momentum_20,5,2725,0.012861107534113922,-0.016024869867028536
2020-03-26,momentum_20,20,2699,0.060262911163240965,0.041891027208210856
2020-03-26,momentum_60_skip_5,1,2687,-0.048082421848359834,-0.06674652711911623
2020-03-26,momentum_60_skip_5,5,2683,0.013260706009391762,-0.027228068628547653
2020-03-26,momentum_60_skip_5,20,2658,0.09741237991214581,0.07093159906355848
2020-03-26,overnight_reversal_5,1,2744,0.03231840505845481,0.03448142255342881
2020-03-26,overnight_reversal_5,5,2740,-0.05157211529236634,-0.09564270410371789
2020-03-26,overnight_reversal_5,20,2714,-0.027383658436125415,-0.08180278923603371
2020-03-26,reversal_5,1,2744,-0.17453329069982063,-0.21781927814263524
2020-03-26,reversal_5,5,2740,-0.06008723565813632,-0.047676759345668
2020-03-26,reversal_5,20,2714,-0.07658824237183275,-0.07074109507254416
2020-03-27,amihud_illiquidity_20,1,2731,0.011933976677408462,0.04836758730748718
2020-03-27,amihud_illiquidity_20,5,2728,-0.08713056237750998,-0.10162451983421686
2020-03-27,amihud_illiquidity_20,20,2692,-0.12880933773459377,-0.13069443874799802
2020-03-27,amount_change_5_20,1,2732,0.06250744284291211,0.03361954136937134
2020-03-27,amount_change_5_20,5,2729,0.02439647457074205,0.003217688444681095
2020-03-27,amount_change_5_20,20,2693,0.025695283102506464,0.042996464701661984
2020-03-27,low_volatility_20,1,2731,0.11164772036540122,0.16781876043122954
2020-03-27,low_volatility_20,5,2728,-0.15164020372505405,-0.1932158117322385
2020-03-27,low_volatility_20,20,2692,-0.02289533796326975,-0.0010591447282458902
2020-03-27,momentum_20,1,2731,0.07611714525693786,0.0468777591346609
2020-03-27,momentum_20,5,2728,-0.08492261622482014,-0.18410126787357445
2020-03-27,momentum_20,20,2692,-0.035606427559263965,-0.049919024120626675
2020-03-27,momentum_60_skip_5,1,2689,-0.0512571120963548,-0.08892746525163162
2020-03-27,momentum_60_skip_5,5,2686,0.1131890361770099,0.10121703084725915
2020-03-27,momentum_60_skip_5,20,2651,0.12579151675686734,0.09431766752933075
2020-03-27,overnight_reversal_5,1,2749,0.058989781547057495,-0.004930698526400838
2020-03-27,overnight_reversal_5,5,2746,-0.06276422504053623,-0.1154496132091167
2020-03-27,overnight_reversal_5,20,2710,-0.04422995065452288,-0.0747651084082761
2020-03-27,reversal_5,1,2749,-0.13622129749153902,-0.16393481792811157
2020-03-27,reversal_5,5,2746,0.06628104460777015,0.15767081093895777
2020-03-27,reversal_5,20,2710,-0.01183443131010274,0.0047138353726080585
2020-03-30,amihud_illiquidity_20,1,2732,-0.04451246457867151,-0.049438250986250855
2020-03-30,amihud_illiquidity_20,5,2729,-0.024502468695141347,-0.01462046857987103
2020-03-30,amihud_illiquidity_20,20,2676,-0.13595962610526244,-0.15042044985953446
2020-03-30,amount_change_5_20,1,2732,-0.11171330385021547,-0.13059860515102228
2020-03-30,amount_change_5_20,5,2729,-0.05066389921577272,-0.10446181896776413
2020-03-30,amount_change_5_20,20,2676,-0.0354957708159698,-0.02476435548958623
2020-03-30,low_volatility_20,1,2732,-0.012717018532314155,-0.02475667543221631
2020-03-30,low_volatility_20,5,2729,-0.1960961584859682,-0.23540780969008177
2020-03-30,low_volatility_20,20,2676,-0.0239033513256503,-0.003438829350083609
2020-03-30,momentum_20,1,2732,-0.30768464407152535,-0.31303912372653275
2020-03-30,momentum_20,5,2729,-0.20226786649837322,-0.3199128655154267
2020-03-30,momentum_20,20,2676,-0.10382573487036338,-0.11434193655312484
2020-03-30,momentum_60_skip_5,1,2692,-0.0471156645462581,-0.05546807655862698
2020-03-30,momentum_60_skip_5,5,2689,0.08746185599585565,0.07234380838999656
